,mid,imdb_id,writer_ids,writer_names,writer_gender,num_of_female_writers,total_num_of_writers,all_female_writers
446,m459,tt0107688,"['nm0000318', 'nm0568313', 'nm0003031']","['Tim Burton', 'Michael McDowell', 'Caroline Thompson']","['M', 'M', 'F']",1,3,False
447,m460,tt0089686,"['nm0153883', 'nm0000127']","['David Chaskin', 'Wes Craven']","['M', 'M']",0,2,False
448,m461,tt0093629,"['nm0000127', 'nm0905818', 'nm0001104', 'nm0751080']","['Wes Craven', 'Bruce Wagner', 'Frank Darabont', 'Chuck Russell']","['M', 'M', 'M', 'M']",0,4,False
449,m462,tt0125439,['nm0193485'],['Richard Curtis'],['M'],0,1,False
450,m463,tt0073486,"['nm0369142', 'nm0325743', 'nm0450181', 'nm0913670']","['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey', 'Dale Wasserman']","['M', 'M', 'M', 'M']",0,4,False
451,m464,tt0110737,['nm0236884'],['Diane Drake'],['F'],1,1,True
452,m465,tt0047296,"['nm0775977', 'nm0425711', 'nm0802563']","['Budd Schulberg', 'Malcolm Johnson', 'Robert Siodmak']","['M', 'M', 'M']",0,3,False
453,m466,tt0054240,['nm0000248'],['Edward D. Wood Jr.'],['M'],0,1,False
454,m467,tt0120780,"['nm0001465', 'nm0291082']","['Elmore Leonard', 'Scott Frank']","['M', 'M']",0,2,False
455,m468,tt0213149,['nm0908824'],['Randall Wallace'],['M'],0,1,False
456,m469,tt0091738,"['nm0500090', 'nm0765403']","['Jerry Leichtling', 'Arlene Sarner']","['M', 'F']",1,2,False
457,m470,tt0105128,['nm0653693'],['Richard Outten'],['M'],0,1,False
458,m471,tt0107818,['nm0638913'],['Ron Nyswaner'],['M'],0,1,False
459,m472,tt0134847,"['nm0923646', 'nm0003117', 'nm0878638']","['Jim Wheat', 'Ken Wheat', 'David Twohy']","['M', 'M', 'M']",0,3,False
460,m473,tt0063442,"['nm0933858', 'nm0785245', 'nm0099541', 'nm0445934']","['Michael Wilson', 'Rod Serling', 'Pierre Boulle', 'John T. Kelley']","['M', 'M', 'M', 'M']",0,4,False
461,m474,tt0091763,['nm0000231'],['Oliver Stone'],['M'],0,1,False
462,m475,tt0114142,"['nm0239490', 'nm0766020']","['David DuBos', 'Oley Sassone']","['M', 'M']",0,2,False
463,m476,tt0086122,['nm0568605'],['Ian McEwan'],['M'],0,1,False
464,m477,tt0102685,"['nm0004488', 'nm0407717']","['Rick King', 'W. Peter Iliff']","['M', 'M']",0,2,False
465,m478,tt0093773,"['nm0859029', 'nm0859049']","['Jim Thomas', 'John Thomas']","['M', 'M']",0,2,False
466,m479,tt0100405,['nm0493369'],['J.F. Lawton'],['M'],0,1,False
467,m480,tt0093779,['nm0001279'],['William Goldman'],['M'],0,1,False
468,m481,tt0395251,"['nm0000316', 'nm0576070']","['Mel Brooks', 'Thomas Meehan']","['M', 'M']",0,2,False
469,m482,tt0054215,"['nm0825010', 'nm0088645']","['Joseph Stefano', 'Robert Bloch']","['M', 'M']",0,2,False
470,m485,tt0024368,"['nm0611920', 'nm0259022', 'nm0067676']","['Don Mullaly', 'Carl Erickson', 'Charles Belden']","['M', 'M', 'M']",0,3,False
471,m486,tt0239860,"['nm0169173', 'nm0322368']","['David Aaron Cohen', 'Francis Glebas']","['M', 'M']",0,2,False
472,m487,tt0102753,['nm0932229'],['Calder Willingham'],['M'],0,1,False
473,m489,tt0086190,"['nm0001410', 'nm0000184']","['Lawrence Kasdan', 'George Lucas']","['M', 'M']",0,2,False
474,m490,tt0073629,"['nm0639782', 'nm0788940']","[""Richard O'Brien"", 'Jim Sharman']","['M', 'M']",0,2,False
475,m491,tt0075148,['nm0000230'],['Sylvester Stallone'],['M'],0,1,False
476,m492,tt0096438,"['nm0937757', 'nm0696949', 'nm0780620', 'nm5927607', 'nm5927608']","['Gary K. Wolf', 'Jeffrey Price', 'Peter S. Seaman', 'Ted Osborne', 'Al Taliaferro']","['M', 'M', 'M', 'M', 'M']",0,5,False
477,m493,tt0063518,"['nm0000636', 'nm0116663', 'nm0195148', 'nm0001874']","['William Shakespeare', 'Franco Brusati', ""Masolino D'Amico"", 'Franco Zeffirelli']","['M', 'M', 'M', 'M']",0,4,False
478,m494,tt0122690,"['nm0954345', 'nm0000519']","['J.D. Zeik', 'David Mamet']","['M', 'M']",0,2,False
479,m495,tt0140519,"['nm0110805', 'nm0449246']","['Brendan Broderick', 'Rob Kerchner']","['M', 'M']",0,2,False
480,m496,tt0266915,"['nm0482780', 'nm0622288']","['Ross LaManna', 'Jeff Nathanson']","['M', 'M']",0,2,False
481,m497,tt0120812,"['nm0482780', 'nm0467942']","['Ross LaManna', 'Jim Kouf']","['M', 'M']",0,2,False
482,m498,tt0163187,"['nm0569210', 'nm0663490']","['Josann McGibbon', 'Sara Parriott']","['F', 'F']",2,2,True
483,m499,tt0108160,"['nm0033578', 'nm0001188', 'nm0911486']","['Jeff Arch', 'Nora Ephron', 'David S. Ward']","['M', 'F', 'M']",1,3,False
484,m500,tt0047443,['nm0933858'],['Michael Wilson'],['M'],0,1,False
485,m501,tt0235737,['nm0311024'],['Tony Gayton'],['M'],0,1,False
486,m502,tt0120815,['nm0734441'],['Robert Rodat'],['M'],0,1,False
487,m503,tt0098258,['nm0001081'],['Cameron Crowe'],['M'],0,1,False
488,m504,tt0108052,"['nm0447745', 'nm0001873']","['Thomas Keneally', 'Steven Zaillian']","['M', 'M']",0,2,False
489,m505,tt0120082,['nm0932078'],['Kevin Williamson'],['M'],0,1,False
490,m506,tt0134084,"['nm0932078', 'nm0472567']","['Kevin Williamson', 'Ehren Kruger']","['M', 'M']",0,2,False
491,m507,tt0117571,['nm0932078'],['Kevin Williamson'],['M'],0,1,False
492,m508,tt0079882,"['nm0238083', 'nm0047915', 'nm0796477']","['William Driskill', 'Robert Baird', 'Andy Sidaris']","['M', 'M', 'M']",0,3,False
493,m509,tt0049730,"['nm0637793', 'nm0494435']","['Frank S. Nugent', 'Alan Le May']","['M', 'M']",0,2,False
494,m510,tt0221928,['nm0004308'],['Dirk Ahner'],['M'],0,1,False
495,m511,tt0138097,"['nm0635565', 'nm0001779']","['Marc Norman', 'Tom Stoppard']","['M', 'M']",0,2,False
496,m512,tt0111149,['nm0388076'],['John Hodge'],['M'],0,1,False
497,m513,tt0073692,"['nm0001801', 'nm0000886']","['Robert Towne', 'Warren Beatty']","['M', 'M']",0,2,False
498,m514,tt0081505,"['nm0000175', 'nm0000040', 'nm0424956']","['Stephen King', 'Stanley Kubrick', 'Diane Johnson']","['M', 'M', 'F']",1,3,False
499,m515,tt0090021,['nm0000175'],['Stephen King'],['M'],0,1,False
500,m516,tt0105417,['nm0397411'],['Paul Rudnick'],['M'],0,1,False
501,m517,tt0162661,"['nm0410331', 'nm0944892', 'nm0001825']","['Washington Irving', 'Kevin Yagher', 'Andrew Kevin Walker']","['M', 'M', 'M']",0,3,False
502,m518,tt0117666,['nm0000671'],['Billy Bob Thornton'],['M'],0,1,False
503,m519,tt0114478,['nm0000808'],['Paul Auster'],['M'],0,1,False
504,m520,tt0120834,"['nm0349189', 'nm0060103', 'nm0382956']","['David Guterson', 'Ronald Bass', 'Scott Hicks']","['M', 'M', 'M']",0,3,False
505,m522,tt0053291,"['nm0000697', 'nm0224634', 'nm0858329', 'nm0517615']","['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren', 'Michael Logan']","['M', 'M', 'M', 'M']",0,4,False
506,m523,tt0372532,"['nm1814871', 'nm1401416']","['Elizabeth Young', 'Dana Fox']","['F', 'F']",2,2,True
507,m524,tt0069303,"['nm0253039', 'nm0035943']","['Lonne Elder III', 'William H. Armstrong']","['M', 'M']",0,2,False
508,m525,tt0158983,"['nm0005295', 'nm0001778', 'nm0103702']","['Trey Parker', 'Matt Stone', 'Pam Brady']","['M', 'M', 'F']",1,3,False
509,m526,tt0120174,"['nm0110805', 'nm0700706']","['Brendan Broderick', 'Daniella Purcell']","['M', 'F']",1,2,False
510,m527,tt0108200,['nm0342265'],['Christopher Grimm'],['M'],0,1,False
511,m528,tt0120184,"['nm0000341', 'nm0934483', 'nm0369561', 'nm0001921']","['Michael Crichton', 'Kurt Wimmer', 'Stephen Hauser', 'Paul Attanasio']","['M', 'M', 'M', 'M']",0,4,False
512,m529,tt0076759,['nm0000184'],['George Lucas'],['M'],0,1,False
513,m530,tt0120201,"['nm0627159', 'nm0374423']","['Edward Neumeier', 'Robert A. Heinlein']","['M', 'M']",0,2,False
514,m531,tt0079945,"['nm0734472', 'nm0515245', 'nm0287669']","['Gene Roddenberry', 'Harold Livingston', 'Alan Dean Foster']","['M', 'M', 'M']",0,3,False
515,m532,tt0120202,['nm0000519'],['David Mamet'],['M'],0,1,False
516,m533,tt0120686,"['nm0505144', 'nm0625458', 'nm0737216', 'nm0394212', 'nm0060103']","['Gigi Levangie', 'Jessie Nelson', 'Steven Rogers', 'Karen Leigh Hopkins', 'Ronald Bass']","['F', 'F', 'M', 'F', 'M']",3,5,False
517,m534,tt0250081,['nm0001754'],['Todd Solondz'],['M'],0,1,False
518,m536,tt0057012,"['nm0000040', 'nm0816143', 'nm0313570']","['Stanley Kubrick', 'Terry Southern', 'Peter George']","['M', 'M', 'M']",0,3,False
519,m537,tt0120238,['nm0091899'],['Eric Bogosian'],['M'],0,1,False
520,m538,tt0186589,['nm0625570'],['Mandy Nelson'],['F'],1,1,True
521,m539,tt0043014,"['nm0102818', 'nm0000697', 'nm0551261']","['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","['M', 'M', 'M']",0,3,False
522,m540,tt0088206,"['nm0643973', 'nm2406394', 'nm2530490']","['David Odell', 'Otto Binder', 'Al Plastino']","['M', 'M', 'M']",0,3,False
523,m541,tt0086393,"['nm0796950', 'nm0795975', 'nm0628058', 'nm0628174', 'nm0701374']","['Jerry Siegel', 'Joe Shuster', 'David Newman', 'Leslie Newman', 'Mario Puzo']","['M', 'M', 'M', 'F', 'M']",1,5,False
524,m542,tt0081573,"['nm0796950', 'nm0795975', 'nm0701374', 'nm0628058', 'nm0628174', 'nm0542539']","['Jerry Siegel', 'Joe Shuster', 'Mario Puzo', 'David Newman', 'Leslie Newman', 'Tom Mankiewicz']","['M', 'M', 'M', 'M', 'F', 'M']",1,6,False
525,m543,tt0094074,"['nm0796950', 'nm0795975', 'nm0001659', 'nm0465199', 'nm0742797']","['Jerry Siegel', 'Joe Shuster', 'Christopher Reeve', 'Lawrence Konner', 'Mark Rosenthal']","['M', 'M', 'M', 'M', 'M']",0,5,False
526,m544,tt0078346,"['nm0796950', 'nm0795975', 'nm0701374', 'nm0628058', 'nm0628174', 'nm0000914', 'nm0542539']","['Jerry Siegel', 'Joe Shuster', 'Mario Puzo', 'David Newman', 'Leslie Newman', 'Robert Benton', 'Tom Mankiewicz']","['M', 'M', 'M', 'M', 'F', 'M', 'M']",1,7,False
527,m545,tt0120255,"['nm0001930', 'nm0000382']","['Russell Banks', 'Atom Egoyan']","['M', 'M']",0,2,False
528,m546,tt0051036,"['nm0644048', 'nm0499626', 'nm0533241']","['Clifford Odets', 'Ernest Lehman', 'Alexander Mackendrick']","['M', 'M', 'M']",0,3,False
529,m547,tt0103064,"['nm0000116', 'nm0936537']","['James Cameron', 'William Wisher']","['M', 'M']",0,2,False
530,m548,tt0260414,['nm0367838'],['Ronald Harwood'],['M'],0,1,False
531,m549,tt0088247,"['nm0000116', 'nm0005036', 'nm0936537']","['James Cameron', 'Gale Anne Hurd', 'William Wisher']","['M', 'F', 'M']",1,3,False
532,m550,tt0119174,"['nm0104335', 'nm0274905']","['John Brancato', 'Michael Ferris']","['M', 'M']",0,2,False
533,m551,tt0171363,"['nm0783100', 'nm0414047']","['David Self', 'Shirley Jackson']","['M', 'F']",1,2,False
534,m552,tt0165854,['nm0229644'],['Lem Dobbs'],['M'],0,1,False
535,m553,tt0243133,"['nm0001054', 'nm0001053']","['Joel Coen', 'Ethan Coen']","['M', 'M']",0,2,False
536,m554,tt0120004,"['nm0696409', 'nm0157470', 'nm0427468', 'nm0706311', 'nm0415425', 'nm0798646']","['Douglas Preston', 'Lincoln Child', 'Amy Holden Jones', 'John Raffo', 'Rick Jaffa', 'Amanda Silver']","['M', 'M', 'F', 'M', 'M', 'F']",2,6,False
537,m555,tt0120382,['nm0629272'],['Andrew Niccol'],['M'],0,1,False
538,m556,tt0120902,"['nm0004810', 'nm0819487']","['Chris Carter', 'Frank Spotnitz']","['M', 'M']",0,2,False
539,m557,tt0209958,['nm0698873'],['Mark Protosevich'],['M'],0,1,False
540,m558,tt0041959,"['nm0001294', 'nm0000080', 'nm0466099', 'nm0715346']","['Graham Greene', 'Orson Welles', 'Alexander Korda', 'Carol Reed']","['M', 'M', 'M', 'M']",0,4,False
541,m559,tt0163978,"['nm0388076', 'nm0307497']","['John Hodge', 'Alex Garland']","['M', 'M']",0,2,False
542,m560,tt0247199,"['nm0063785', 'nm0414893']","['Henry Bean', 'Mark Jacobson']","['M', 'M']",0,2,False
543,m561,tt0095250,"['nm0000108', 'nm0307561', 'nm0325665', 'nm0562936', 'nm0674700']","['Luc Besson', 'Robert Garland', 'Marilyn Goldin', 'Jacques Mayol', 'Marc Perrier']","['M', 'M', 'F', 'M', 'M']",1,5,False
544,m562,tt0317640,['nm1165576'],['Jonathan Kesselman'],['M'],0,1,False
545,m563,tt0036104,"['nm0942027', 'nm0215085', 'nm0941280']","['Ardel Wray', 'Edward Dein', 'Cornell Woolrich']","['F', 'M', 'M']",1,3,False
546,m564,tt0144286,"['nm0496226', 'nm0112127', 'nm0590105']","['Eric Leclere', 'Margaret Leclere', 'Mark Mills']","['M', 'F', 'M']",1,3,False
547,m565,tt0790712,"['nm0131947', 'nm0610219']","['Alessandro Camon', 'Oren Moverman']","['M', 'M']",0,2,False
548,m566,tt0253474,"['nm0367838', 'nm0844262']","['Ronald Harwood', 'Wladyslaw Szpilman']","['M', 'M']",0,2,False
549,m567,tt0107822,['nm0001005'],['Jane Campion'],['F'],1,1,True
550,m568,tt0070735,['nm0911486'],['David S. Ward'],['M'],0,1,False
551,m569,tt0025878,"['nm0352443', 'nm0329304', 'nm0358591']","['Albert Hackett', 'Frances Goodrich', 'Dashiell Hammett']","['M', 'F', 'M']",1,3,False
552,m570,tt0120188,"['nm0725983', 'nm0751102']","['John Ridley', 'David O. Russell']","['M', 'M']",0,2,False
553,m571,tt0066434,"['nm0000184', 'nm0004555']","['George Lucas', 'Walter Murch']","['M', 'M']",0,2,False
554,m572,tt0196158,['nm0546803'],['Paul B. Margolis'],['M'],0,1,False
555,m573,tt0023622,"['nm0710723', 'nm0428177', 'nm0015801']","['Samson Raphaelson', 'Grover Jones', 'Aladar Laszlo']","['M', 'M', 'M']",0,3,False
556,m574,tt0120338,['nm0000116'],['James Cameron'],['M'],0,1,False
557,m575,tt0025905,"['nm0330390', 'nm0545309', 'nm0174889']","['Leon Gordon', 'Joseph Moncure March', 'Harry W. Conn']","['M', 'M', 'M']",0,3,False
558,m576,tt0108358,['nm0418883'],['Kevin Jarre'],['M'],0,1,False
559,m577,tt0120347,"['nm0270761', 'nm0001220']","['Bruce Feirstein', 'Ian Fleming']","['M', 'M']",0,2,False
560,m578,tt0100791,['nm0122344'],['Charles Burnett'],['M'],0,1,False
561,m579,tt0114709,"['nm0005124', 'nm0230032', 'nm0004056', 'nm0710020', 'nm0923736', 'nm0169505', 'nm0812513']","['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft', 'Joss Whedon', 'Joel Cohen', 'Alec Sokolow']","['M', 'M', 'M', 'M', 'M', 'M', 'M']",0,7,False
562,m580,tt0097806,['nm0141462'],['Angela Carter'],['F'],1,1,True
563,m581,tt0181865,"['nm0601881', 'nm0300866']","['Simon Moore', 'Stephen Gaghan']","['M', 'M']",0,2,False
564,m582,tt0117951,"['nm0920543', 'nm0388076']","['Irvine Welsh', 'John Hodge']","['M', 'M']",0,2,False
565,m583,tt0098382,"['nm0734472', 'nm0000638', 'nm0071790', 'nm0521739']","['Gene Roddenberry', 'William Shatner', 'Harve Bennett', 'David Loughery']","['M', 'M', 'M', 'M']",0,4,False
566,m584,tt0084827,"['nm0513974', 'nm0531381', 'nm0351919']","['Steven Lisberger', 'Bonnie MacBird', 'Charles S. Haas']","['M', 'F', 'M']",1,3,False
567,m585,tt0111503,"['nm0956022', 'nm0584770', 'nm0436687', 'nm0000116']","['Claude Zidi', 'Simon Michaël', 'Didier Kaminka', 'James Cameron']","['M', 'M', 'M', 'M']",0,4,False
568,m586,tt0108399,"['nm0000233', 'nm0000812']","['Quentin Tarantino', 'Roger Avary']","['M', 'M']",0,2,False
569,m587,tt0114746,"['nm0003408', 'nm0672459', 'nm0672466']","['Chris Marker', 'David Webb Peoples', 'Janet Peoples']","['M', 'M', 'F']",1,3,False
570,m588,tt0070848,"['nm0101147', 'nm0434211']","['Douglas Bowie', 'George Kaczender']","['M', 'M']",0,2,False
571,m589,tt0120399,['nm0725983'],['John Ridley'],['M'],0,1,False
572,m590,tt0217869,['nm0796117'],['M. Night Shyamalan'],['M'],0,1,False
573,m591,tt0105695,['nm0672459'],['David Webb Peoples'],['M'],0,1,False
574,m592,tt0114814,['nm0003160'],['Christopher McQuarrie'],['M'],0,1,False
575,m593,tt0072359,"['nm0029274', 'nm0147265', 'nm0183650', 'nm0241506', 'nm0898812']","['Paul Andréota', 'André Cayatte', 'Henri Coupon', 'Pierre Dumayet', 'Luciano Vincenzoni']","['M', 'M', 'M', 'M', 'M']",0,5,False
576,m594,tt0052357,"['nm0178785', 'nm0853138', 'nm0092267', 'nm0092268', 'nm0027173']","['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau', 'Thomas Narcejac', 'Maxwell Anderson']","['M', 'M', 'M', 'M', 'M']",0,5,False
577,m595,tt0124198,['nm0000916'],['Peter Berg'],['M'],0,1,False
578,m596,tt0055601,"['nm0017855', 'nm0000320', 'nm0701918']","['Julio Alejandro', 'Luis Buñuel', 'Benito Pérez Galdós']","['M', 'M', 'M']",0,3,False
579,m597,tt0114857,['nm0077171'],['Eric Bernt'],['M'],0,1,False
580,m598,tt0120885,"['nm0067248', 'nm0377088', 'nm0000519']","['Larry Beinhart', 'Hilary Henkin', 'David Mamet']","['M', 'F', 'M']",1,3,False
581,m599,tt0094291,"['nm0007140', 'nm0000231']","['Stanley Weiser', 'Oliver Stone']","['M', 'M']",0,2,False
582,m601,tt0161081,"['nm0163988', 'nm0449576']","['Clark Gregg', 'Sarah Kernochan']","['M', 'F']",1,2,False
583,m603,tt0181904,['nm0927623'],['Paul Wiesepape'],['M'],0,1,False
584,m604,tt0108558,"['nm0427176', 'nm0427732']","['Geneviève Jolliffe', 'Chris Jones']","['F', 'M']",1,2,False
585,m606,tt0120890,['nm0002983'],['Stephen Peters'],['M'],0,1,False
586,m607,tt0120891,"['nm0859029', 'nm0859049', 'nm0934093', 'nm0534681', 'nm0696949', 'nm0780620']","['Jim Thomas', 'John Thomas', 'S.S. Wilson', 'Brent Maddock', 'Jeffrey Price', 'Peter S. Seaman']","['M', 'M', 'M', 'M', 'M', 'M']",0,6,False
587,m608,tt0096446,"['nm0000184', 'nm0231190']","['George Lucas', 'Bob Dolman']","['M', 'M']",0,2,False
588,m609,tt0090329,"['nm0446015', 'nm0908807', 'nm0908620']","['William Kelley', 'Pamela Wallace', 'Earl W. Wallace']","['M', 'F', 'M']",1,3,False
589,m610,tt0032138,"['nm0486538', 'nm0753249', 'nm0941138', 'nm0000875', 'nm0006085', 'nm0106505', 'nm0134284', 'nm0276252', 'nm0355095', 'nm0361971', 'nm0388755', 'nm0481618', 'nm0536941', 'nm0542534', 'nm0591774', 'nm0621790', 'nm0685265', 'nm0780833', 'nm0799015']","['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf', 'L. Frank Baum', 'Arthur Freed', 'Irving Brecher', 'William H. Cannon', 'Herbert Fields', 'Jack Haley', 'E.Y. Harburg', 'Samuel Hoffenstein', 'Bert Lahr', 'John Lee Mahin', 'Herman J. Mankiewicz', 'Jack Mintz', 'Ogden Nash', 'Robert Pirosh', 'George Seaton', 'Sid Silvers']","['M', 'F', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M']",1,19,False
590,m611,tt0143145,"['nm0701031', 'nm0905498', 'nm0270761', 'nm0001220']","['Neal Purvis', 'Robert Wade', 'Bruce Feirstein', 'Ian Fleming']","['M', 'M', 'M', 'M']",0,4,False
591,m612,tt0409459,"['nm1733301', 'nm0371684', 'nm0874844']","['Dave Gibbons', 'David Hayter', 'Alex Tse']","['M', 'M', 'M']",0,3,False
592,m613,tt0295701,['nm0929186'],['Rich Wilkes'],['M'],0,1,False
593,m615,tt0072431,"['nm0000698', 'nm0000316', 'nm0791217']","['Gene Wilder', 'Mel Brooks', 'Mary Shelley']","['M', 'M', 'F']",1,3,False
