,mid,imdb_id,writer_ids,writer_names,writer_gender
44,m0,tt0147800,"['nm0527581', 'nm0809006', 'nm0000636']","['Karen McCullah', 'Kirsten Smith', 'William Shakespeare']","F,F,M"
464,m1,tt0103594,['nm0097785'],['Rose Bosch'],F
344,m2,tt0179626,['nm0381273'],['John Herzfeld'],M
446,m3,tt0062622,"['nm0000040', 'nm0002009']","['Stanley Kubrick', 'Arthur C. Clarke']","M,M"
384,m4,tt0083511,"['nm0006854', 'nm0001353', 'nm0343419', 'nm0211823']","['Roger Spottiswoode', 'Walter Hill', 'Larry Gross', 'Steven E. de Souza']","M,M,M,M"
396,m5,tt0119116,"['nm0000108', 'nm0436543']","['Luc Besson', 'Robert Mark Kamen']","M,M"
135,m6,tt0134273,['nm0001825'],['Andrew Kevin Walker'],M
501,m7,tt0095742,"['nm0000127', 'nm0467889', 'nm0001338', 'nm0923646', 'nm0003117']","['Wes Craven', 'William Kotzwinkle', 'Brian Helgeland', 'Jim Wheat', 'Ken Wheat']","M,M,M,M,M"
549,m8,tt0097981,"['nm0000127', 'nm0804345', 'nm0817468', 'nm0092018']","['Wes Craven', 'John Skipp', 'Craig Spector', 'Leslie Bohem']","M,M,M,M"
16,m9,tt0052587,"['nm0359034', 'nm0088726', 'nm0704896']","['Orville H. Hampton', 'Irving Block', 'Jack Rabin']","M,M,M"
261,m10,tt0118564,"['nm0001930', 'nm0001707']","['Russell Banks', 'Paul Schrader']","M,M"
248,m11,tt0118571,['nm0549256'],['Andrew W. Marlowe'],M
151,m12,tt0083530,"['nm0277946', 'nm0419830', 'nm0718514']","['Ken Finkleman', 'Al Jean', 'Mike Reiss']","M,M,M"
582,m13,tt0080339,"['nm0000720', 'nm0001878', 'nm0958387', 'nm0058826', 'nm0150712', 'nm0354150']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker', 'Hall Bartlett', 'John C. Champion', 'Arthur Hailey']","M,M,M,M,M,M"
209,m14,tt0094631,['nm0639328'],"[""Rockne S. O'Bannon""]",M
177,m15,tt0090605,"['nm0000116', 'nm0318429', 'nm0001353', 'nm0639321', 'nm0795953']","['James Cameron', 'David Giler', 'Walter Hill', ""Dan O'Bannon"", 'Ronald Shusett']","M,M,M,M,M"
103,m16,tt0086879,"['nm0787323', 'nm0537004']","['Peter Shaffer', 'Zdenek Mahler']","M,M"
459,m17,tt0082010,['nm0000484'],['John Landis'],M
431,m18,tt0022626,['nm0728307'],['Robert Riskin'],M
10,m19,tt0244000,"['nm0853095', 'nm0736966']","['Roderick Taylor', 'John Rogers']","M,M"
9,m20,tt0144084,"['nm0254735', 'nm0366004', 'nm0877587']","['Bret Easton Ellis', 'Mary Harron', 'Guinevere Turner']","M,F,F"
159,m21,tt0218817,['nm0291442'],['Howard Franklin'],M
387,m22,tt0118655,['nm0000196'],['Mike Myers'],M
62,m23,tt0848228,"['nm0923736', 'nm0672015']","['Joss Whedon', 'Zak Penn']","M,M"
566,m24,tt0086927,"['nm0411444', 'nm0411477', 'nm0698493']","['Bob Israel', 'Neal Israel', 'Pat Proft']","M,M,M"
211,m25,tt0101393,['nm0927074'],['Gregory Widen'],M
30,m26,tt0103759,"['nm0526259', 'nm0001206']","['Zoë Lund', 'Abel Ferrara']","F,M"
310,m27,tt0215545,['nm0000490'],['Spike Lee'],M
196,m28,tt0072684,"['nm0000040', 'nm0856842']","['Stanley Kubrick', 'William Makepeace Thackeray']","M,M"
79,m29,tt0264395,['nm0888743'],['James Vanderbilt'],M
341,m30,tt0319061,"['nm1180620', 'nm0041864']","['Daniel Wallace', 'John August']","M,M"
291,m31,tt0188453,"['nm0125358', 'nm0125336']","['Tom Butterworth', 'Jez Butterworth']","M,M"
188,m32,tt0462200,['nm0108132'],['Craig Brewer'],M
69,m33,tt0096933,"['nm0093271', 'nm0507863']","['Craig Bolotin', 'Warren Lewis']","M,M"
202,m34,tt0083658,"['nm0266684', 'nm0672459', 'nm0001140']","['Hampton Fancher', 'David Webb Peoples', 'Philip K. Dick']","M,M,M"
12,m35,tt0124298,"['nm0446210', 'nm0933505']","['Bill Kelly', 'Hugh Wilson']","M,M"
564,m36,tt0090756,['nm0000186'],['David Lynch'],M
366,m37,tt0144117,['nm0240627'],['Troy Duffy'],M
386,m38,tt0115734,"['nm0005562', 'nm0027572']","['Owen Wilson', 'Wes Anderson']","M,M"
297,m39,tt0372183,"['nm0524924', 'nm0006904']","['Robert Ludlum', 'Tony Gilroy']","M,M"
452,m40,tt0112573,['nm0908824'],['Randall Wallace'],M
390,m41,tt0289879,"['nm0344259', 'nm0107774']","['J. Mackye Gruber', 'Eric Bress']","M,M"
269,m42,tt0034583,"['nm0258493', 'nm0258525', 'nm0462321', 'nm0122417', 'nm0019706', 'nm0732452']","['Julius J. Epstein', 'Philip G. Epstein', 'Howard Koch', 'Murray Burnett', 'Joan Alison', 'Casey Robinson']","M,M,M,M,F,M"
83,m43,tt0162222,['nm0115310'],['William Broyles Jr.'],M
347,m44,tt0124315,['nm0410288'],['John Irving'],M
107,m45,tt0310910,['nm1136647'],['Doug Jung'],M
296,m46,tt0159382,['nm0562577'],['Paul Mayersberg'],M
418,m47,tt0069945,"['nm0000118', 'nm0639321']","['John Carpenter', ""Dan O'Bannon""]","M,M"
75,m48,tt0099817,"['nm0878716', 'nm0462895']","['Jonathan Tydor', 'David Koepp']","M,M"
372,m49,tt0165710,['nm0243463'],['Carl V. Dupré'],M
460,m50,tt0246578,['nm0446819'],['Richard Kelly'],M
468,m51,tt0157503,['nm0931185'],['Lona Williams'],F
325,m52,tt0023969,"['nm0436095', 'nm0748438', 'nm0790654', 'nm0674759']","['Bert Kalmar', 'Harry Ruby', 'Arthur Sheekman', 'Nat Perrin']","M,M,M,M"
357,m53,tt0080678,"['nm0212246', 'nm0075015', 'nm0000186', 'nm0872375', 'nm0598744']","['Christopher De Vore', 'Eric Bergren', 'David Lynch', 'Frederick Treves', 'Ashley Montagu']","M,M,M,M,M"
128,m54,tt0097289,['nm0001402'],['Terry Jones'],M
214,m55,tt0338013,"['nm0442109', 'nm0327273', 'nm1410028']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","M,M,M"
136,m56,tt0106834,"['nm0730478', 'nm0001814']","['Tom Robbins', 'Gus Van Sant']","M,M"
324,m57,tt0119081,['nm0252155'],['Philip Eisner'],M
193,m58,tt0120667,"['nm0004111', 'nm0289833', 'nm0498278', 'nm0456158']","['Mark Frost', 'Michael France', 'Stan Lee', 'Jack Kirby']","M,M,M,M"
350,m59,tt0083929,['nm0001081'],['Cameron Crowe'],M
420,m60,tt0120669,"['nm0860219', 'nm0000416', 'nm0342617', 'nm0204000', 'nm0007182']","['Hunter S. Thompson', 'Terry Gilliam', 'Tony Grisoni', 'Tod Davies', 'Alex Cox']","M,M,M,F,M"
462,m61,tt0426459,"['nm1733317', 'nm1729303']","['Patrick Melton', 'Marcus Dunstan']","M,M"
67,m62,tt0083967,"['nm0075015', 'nm0212246', 'nm0443582']","['Eric Bergren', 'Christopher De Vore', 'Nicholas Kazan']","M,M,M"
260,m63,tt0021884,"['nm0049721', 'nm0791217', 'nm0916811', 'nm0287124', 'nm0267020', 'nm0770337', 'nm0282984', 'nm0751246']","['John L. Balderston', 'Mary Shelley', 'Peggy Webling', 'Garrett Fort', 'Francis Edward Faragoh', 'Richard Schayer', 'Robert Florey', 'John Russell']","M,F,F,M,M,M,M,M"
568,m64,tt0758746,"['nm0566699', 'nm1226735', 'nm1226737', 'nm1187126']","['Victor Miller', 'Damian Shannon', 'Mark Swift', 'Mark Wheaton']","M,M,M,M"
389,m65,tt0116367,"['nm0476071', 'nm0000233']","['Robert Kurtzman', 'Quentin Tarantino']","M,M"
333,m66,tt0119173,"['nm0018824', 'nm0878638']","['Danielle Alexandra', 'David Twohy']","F,M"
307,m67,tt0120685,"['nm0002041', 'nm0000386', 'nm0254645', 'nm0744429']","['Dean Devlin', 'Roland Emmerich', 'Ted Elliott', 'Terry Rossio']","M,M,M,M"
14,m68,tt0177789,"['nm0397232', 'nm0330565']","['David Howard', 'Robert Gordon']","M,M"
424,m69,tt0262432,['nm0337773'],['David Gordon Green'],M
239,m70,tt0113161,"['nm0001465', 'nm0291082']","['Elmore Leonard', 'Scott Frank']","M,M"
138,m71,tt0288477,"['nm0360144', 'nm0688282']","['Mark Hanlon', 'John Pogue']","M,M"
175,m72,tt0162346,"['nm0167280', 'nm0959062']","['Daniel Clowes', 'Terry Zwigoff']","M,M"
434,m73,tt0116409,['nm0001279'],['William Goldman'],M
496,m74,tt0097428,"['nm0000101', 'nm0000601']","['Dan Aykroyd', 'Harold Ramis']","M,M"
169,m75,tt0087332,"['nm0000101', 'nm0000601', 'nm0001548']","['Dan Aykroyd', 'Harold Ramis', 'Rick Moranis']","M,M,M"
340,m76,tt0172495,"['nm0291905', 'nm0517589', 'nm0629933']","['David Franzoni', 'John Logan', 'William Nicholson']","M,M,M"
362,m77,tt0061722,"['nm0932229', 'nm0377750', 'nm0916047']","['Calder Willingham', 'Buck Henry', 'Charles Webb']","M,M,M"
190,m78,tt0022958,"['nm0062139', 'nm0237033', 'nm0049462', 'nm0941138']","['Vicki Baum', 'William Absalom Drake', 'Béla Balázs', 'Edgar Allan Woolf']","F,M,M,M"
502,m79,tt0099703,"['nm0860292', 'nm0922799']","['Jim Thompson', 'Donald E. Westlake']","M,M"
441,m80,tt0120694,"['nm0384185', 'nm0000118', 'nm0002526', 'nm0338557']","['Debra Hill', 'John Carpenter', 'Robert Zappia', 'Matt Greenberg']","F,M,M,M"
368,m81,tt0113253,"['nm0384185', 'nm0000118', 'nm0268107']","['Debra Hill', 'John Carpenter', 'Daniel Farrands']","F,M,M"
56,m82,tt0067180,['nm0903361'],['Kurt Vonnegut Jr.'],M
479,m83,tt0079271,['nm0001707'],['Paul Schrader'],M
503,m84,tt0067185,['nm0383359'],['Colin Higgins'],M
547,m85,tt0095294,"['nm0040643', 'nm0000850']","['Peter Atkins', 'Clive Barker']","M,M"
414,m86,tt0167190,"['nm0868219', 'nm1486009', 'nm0586005']","['Guillermo del Toro', 'Peter Briggs', 'Mike Mignola']","M,M,M"
116,m87,tt0093177,['nm0000850'],['Clive Barker'],M
230,m88,tt0146882,"['nm0394984', 'nm0222584', 'nm0684336', 'nm0000131', 'nm0003298']","['Nick Hornby', 'D.V. DeVincentis', 'Steve Pink', 'John Cusack', 'Scott Rosenberg']","M,M,M,M,M"
354,m89,tt0091203,"['nm0927074', 'nm0069282', 'nm0272511']","['Gregory Widen', 'Peter Bellwood', 'Larry Ferguson']","M,M,M"
36,m90,tt0032599,"['nm0496468', 'nm0372942', 'nm0531269', 'nm0753452']","['Charles Lederer', 'Ben Hecht', 'Charles MacArthur', 'Morrie Ryskind']","M,M,M,M"
416,m91,tt0093209,['nm0000958'],['John Boorman'],M
267,m92,tt0251736,['nm0957772'],['Rob Zombie'],M
82,m93,tt0219822,['nm0442109'],['Charlie Kaufman'],M
215,m94,tt0054997,"['nm0140987', 'nm0744035', 'nm0856677']","['Sidney Carroll', 'Robert Rossen', 'Walter Tevis']","M,M,M"
295,m95,tt0480249,"['nm0698873', 'nm0326040', 'nm0558577', 'nm0181019', 'nm0181020']","['Mark Protosevich', 'Akiva Goldsman', 'Richard Matheson', 'John William Corrington', 'Joyce Hooper Corrington']","M,M,M,M,F"
489,m96,tt0045917,"['nm0086701', 'nm0061510']","['Richard Blake', 'John Tucker Battle']","M,M"
15,m97,tt0116629,"['nm0002041', 'nm0000386']","['Dean Devlin', 'Roland Emmerich']","M,M"
403,m98,tt0097576,"['nm0090151', 'nm0000184', 'nm0583675', 'nm0442241']","['Jeffrey Boam', 'George Lucas', 'Menno Meyjes', 'Philip Kaufman']","M,M,M,M"
415,m99,tt0087469,"['nm0404754', 'nm0441718', 'nm0000184']","['Willard Huyck', 'Gloria Katz', 'George Lucas']","M,F,M"
444,m100,tt0093260,"['nm0698734', 'nm0090151']","['Chip Proser', 'Jeffrey Boam']","M,M"
536,m101,tt0140352,"['nm0107493', 'nm0744839', 'nm0000520']","['Marie Brenner', 'Eric Roth', 'Michael Mann']","F,M,M"
216,m102,tt0138524,"['nm0709070', 'nm0832043', 'nm0738908', 'nm0001053', 'nm0001054']","['Robert Ramsey', 'Matthew Stone', 'John Romano', 'Ethan Coen', 'Joel Coen']","M,M,M,M,M"
342,m103,tt0025316,"['nm0728307', 'nm0011343']","['Robert Riskin', 'Samuel Hopkins Adams']","M,M"
179,m104,tt0102138,"['nm0308426', 'nm0550285', 'nm0000231', 'nm0804466']","['Jim Garrison', 'Jim Marrs', 'Oliver Stone', 'Zachary Sklar']","M,M,M,M"
143,m105,tt0119396,"['nm0000233', 'nm0001465']","['Quentin Tarantino', 'Elmore Leonard']","M,M"
305,m106,tt0099871,['nm0748022'],['Bruce Joel Rubin'],M
512,m107,tt0211443,"['nm0566699', 'nm0267805']","['Victor Miller', 'Todd Farmer']","M,M"
370,m108,tt0073195,"['nm0001940', 'nm0331956']","['Peter Benchley', 'Carl Gottlieb']","M,M"
367,m109,tt0467406,['nm1959505'],['Diablo Cody'],F
253,m110,tt0107302,"['nm0506629', 'nm0582481']","['Stephen Levy', 'Tim Metcalfe']","M,M"
125,m111,tt0113540,"['nm0005101', 'nm0164187']","['Harmony Korine', 'Larry Clark']","M,M"
557,m112,tt0104627,['nm0592436'],['Brad Mirman'],M
398,m113,tt0085811,['nm0792589'],['Stanford Sherman'],M
91,m114,tt0110413,['nm0000108'],['Luc Besson'],M
450,m115,tt0159519,['nm0791551'],['Nina Shengold'],F
585,m116,tt0113627,"['nm3840714', 'nm0001214']","[""John O'Brien"", 'Mike Figgis']","M,M"
491,m117,tt0250494,"['nm0113005', 'nm0527581', 'nm0809006']","['Amanda Brown', 'Karen McCullah', 'Kirsten Smith']","F,F,F"
98,m118,tt0089469,['nm0387132'],['William Hjortsberg'],M
66,m119,tt0264796,['nm0029125'],['Mark Andrus'],M
46,m120,tt0289992,['nm1017488'],['Charles Randolph'],M
205,m121,tt0185431,"['nm0379056', 'nm0001191', 'nm0109359']","['Tim Herlihy', 'Adam Sandler', 'Steven Brill']","M,M,M"
171,m122,tt0074812,"['nm0329051', 'nm0634368', 'nm0425138']","['David Zelag Goodman', 'William F. Nolan', 'George Clayton Johnson']","M,M,M"
507,m123,tt0116922,"['nm0000186', 'nm0317510']","['David Lynch', 'Barry Gifford']","M,M"
59,m124,tt0029162,"['nm0728307', 'nm0385264', 'nm0118227']","['Robert Riskin', 'James Hilton', 'Sidney Buchman']","M,M,M"
436,m125,tt0119654,"['nm0192384', 'nm0004412']","['Lowell Cunningham', 'Ed Solomon']","M,M"
2,m126,tt0181689,"['nm0001140', 'nm0291082', 'nm0169509']","['Philip K. Dick', 'Scott Frank', 'Jon Cohen']","M,M,M"
195,m127,tt0227005,['nm0269463'],['Jon Favreau'],M
574,m128,tt0104797,"['nm0355077', 'nm0944318', 'nm0674135', 'nm0000490']","['Alex Haley', 'Malcolm X', 'Arnold Perl', 'Spike Lee']","M,M,M,M"
185,m129,tt0328107,"['nm0704031', 'nm0001338']","['A.J. Quinnell', 'Brian Helgeland']","M,M"
220,m130,tt0048356,['nm0154665'],['Paddy Chayefsky'],M
262,m131,tt0066026,"['nm0393645', 'nm0488057']","['Richard Hooker', 'Ring Lardner Jr.']","M,M"
146,m132,tt0033891,"['nm0175028', 'nm0696190', 'nm0728307', 'nm0175333']","['Richard Connell', 'Robert Presnell Sr.', 'Robert Riskin', 'Myles Connolly']","M,M,M,M"
187,m133,tt0119664,['nm0271098'],['Randy Feldman'],M
569,m134,tt0017136,"['nm0902376', 'nm0000485']","['Thea von Harbou', 'Fritz Lang']","F,M"
304,m136,tt0102460,"['nm0536893', 'nm0443582']","['Michael Mahern', 'Nicholas Kazan']","M,M"
145,m137,tt0166276,"['nm0085718', 'nm0358334']","['Kaja Blackley', 'Sam Hamm']","M,M"
589,m138,tt0177023,['nm0681914'],['Rex Pickett'],M
224,m139,tt0031679,"['nm0118227', 'nm0287931', 'nm0175333']","['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']","M,M,M"
4,m140,tt0027996,"['nm0728307', 'nm0445502']","['Robert Riskin', 'Clarence Budington Kelland']","M,M"
178,m141,tt0140397,['nm0001410'],['Lawrence Kasdan'],M
427,m142,tt0120616,"['nm0814085', 'nm0285126', 'nm0418883', 'nm0049721', 'nm0701233', 'nm0770337']","['Stephen Sommers', 'Lloyd Fonvielle', 'Kevin Jarre', 'John L. Balderston', 'Nina Wilcox Putnam', 'Richard Schayer']","M,M,M,M,F,M"
236,m143,tt0132347,"['nm0193854', 'nm0120918']","['Neil Cuthbert', 'Bob Burden']","M,M"
417,m144,tt0113932,"['nm0099755', 'nm0028196', 'nm0759166', 'nm0817389', 'nm0578771']","['Michael Bourchier', 'Mario Andreacchio', 'Mark Saltzman', 'Steve J. Spears', 'Ivan Menchell']","M,M,M,M,M"
27,m145,tt0195945,"['nm0001084', 'nm0690770']","['Ice Cube', 'DJ Pooh']","M,M"
520,m146,tt0113972,['nm0242059'],['Patrick Sheane Duncan'],M
329,m147,tt0048424,"['nm0344181', 'nm0012938', 'nm0001452']","['Davis Grubb', 'James Agee', 'Charles Laughton']","M,M,M"
150,m148,tt0087800,['nm0000127'],['Wes Craven'],M
278,m149,tt0031725,"['nm0102818', 'nm0000697', 'nm0281556', 'nm0501872']","['Charles Brackett', 'Billy Wilder', 'Walter Reisch', 'Melchior Lengyel']","M,M,M,M"
89,m150,tt0113987,"['nm0729151', 'nm0929349', 'nm0000231']","['Stephen J. Rivele', 'Christopher Wilkinson', 'Oliver Stone']","M,M,M"
251,m151,tt0477348,"['nm0001054', 'nm0001053', 'nm0565092']","['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","M,M,M"
72,m152,tt0171580,"['nm0724167', 'nm0280963']","['John C. Richards', 'James Flamberg']","M,M"
592,m153,tt0190590,"['nm0392955', 'nm0001053', 'nm0001054']","['Homer', 'Ethan Coen', 'Joel Coen']","M,M,M"
95,m154,tt0084434,['nm0829343'],['Douglas Day Stewart'],M
255,m155,tt0258000,['nm0462895'],['David Koepp'],M
54,m156,tt0114084,['nm0887708'],['Melvin Van Peebles'],M
570,m157,tt0187393,['nm0734441'],['Robert Rodat'],M
313,m158,tt0098084,['nm0000175'],['Stephen King'],M
231,m159,tt0325980,"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684']","['Ted Elliott', 'Terry Rossio', 'Stuart Beattie', 'Jay Wolpert']","M,M,M,M"
540,m160,tt0200365,['nm0611555'],['Robin Mukherjee'],M
133,m161,tt0022268,"['nm0151310', 'nm0161428', 'nm0728307', 'nm0842485']","['Harry Chandlee', 'Douglas W. Churchill', 'Robert Riskin', 'Jo Swerling']","M,M,M,M"
461,m162,tt0120789,['nm0002657'],['Gary Ross'],M
197,m163,tt0272338,['nm0000759'],['Paul Thomas Anderson'],M
380,m164,tt0180073,['nm0942354'],['Doug Wright'],M
449,m165,tt0120801,"['nm0517589', 'nm0186193', 'nm0502072']","['John Logan', 'Richard Ben Cramer', 'Thomas Lennon']","M,M,M"
320,m166,tt0081398,"['nm0483766', 'nm0141734', 'nm0678014', 'nm0001707', 'nm0552731']","['Jake LaMotta', 'Joseph Carter', 'Peter Savage', 'Paul Schrader', 'Mardik Martin']","M,M,M,M,M"
265,m167,tt0047396,"['nm0371088', 'nm0941280']","['John Michael Hayes', 'Cornell Woolrich']","M,M"
280,m168,tt0048545,"['nm0827856', 'nm0795730', 'nm0712947']","['Stewart Stern', 'Irving Shulman', 'Nicholas Ray']","M,M,M"
244,m169,tt0184858,['nm0472567'],['Ehren Kruger'],M
369,m170,tt0105236,"['nm0000233', 'nm0000812']","['Quentin Tarantino', 'Roger Avary']","M,M"
433,m171,tt0041827,"['nm0537784', 'nm0124947', 'nm0896830']","['Daniel Mainwaring', 'Hugo Butler', 'Peter Viertel']","M,M,M"
276,m172,tt0257106,"['nm0915465', 'nm0005541', 'nm0424688', 'nm0064556', 'nm0294997', 'nm0783536', 'nm1010379', 'nm0333240', 'nm0689844', 'nm0811360', 'nm0915460']","['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Alyson Fouse', 'Greg Grabianski', 'Dave Polsky', 'Michael Anthony Snowden', 'Craig Wayans']","M,M,M,M,M,M,F,M,M,M,M"
526,m173,tt0111127,['nm0000691'],['John Waters'],M
339,m174,tt0036341,"['nm0641885', 'nm0090840']","[""Charles O'Neal"", 'DeWitt Bodeen']","M,M"
218,m175,tt0098724,['nm0001752'],['Steven Soderbergh'],M
273,m176,tt0073705,['nm0000343'],['David Cronenberg'],M
591,m177,tt0083067,"['nm0639782', 'nm0788940']","[""Richard O'Brien"", 'Jim Sharman']","M,M"
119,m178,tt0375063,"['nm0681914', 'nm0668247', 'nm0852591']","['Rex Pickett', 'Alexander Payne', 'Jim Taylor']","M,M,M"
359,m179,tt0286106,['nm0796117'],['M. Night Shyamalan'],M
565,m180,tt0090022,"['nm0001410', 'nm0440461']","['Lawrence Kasdan', 'Mark Kasdan']","M,M"
378,m181,tt1626229,['nm0497281'],['Frazer Lee'],M
293,m182,tt0167404,['nm0796117'],['M. Night Shyamalan'],M
454,m183,tt0301848,"['nm1181226', 'nm1100142']","['Stephen Ronald Francis', 'Gus Silber']","M,M"
18,m184,tt0439815,['nm0348181'],['James Gunn'],M
425,m185,tt0076729,"['nm0624102', 'nm0506597', 'nm0057157', 'nm0796124', 'nm0541629']","['Hal Needham', 'Robert L. Levy', 'James Lee Barrett', 'Charles Shyer', 'Alan Mandel']","M,M,M,M,M"
238,m186,tt0475394,['nm0138620'],['Joe Carnahan'],M
463,m187,tt0307479,"['nm0501015', 'nm0001752']","['Stanislaw Lem', 'Steven Soderbergh']","M,M"
118,m188,tt0094008,"['nm0291442', 'nm0045301', 'nm0783544']","['Howard Franklin', 'Danilo Bach', 'David Seltzer']","M,M,M"
213,m189,tt0145487,"['nm0498278', 'nm0228492', 'nm0462895']","['Stan Lee', 'Steve Ditko', 'David Koepp']","M,M,M"
467,m190,tt0046359,"['nm0000697', 'nm0089637', 'nm0079654', 'nm0874522']","['Billy Wilder', 'Edwin Blum', 'Donald Bevan', 'Edmund Trzcinski']","M,M,M,M"
298,m191,tt0111280,"['nm0734472', 'nm0075834', 'nm0601822', 'nm0103804']","['Gene Roddenberry', 'Rick Berman', 'Ronald D. Moore', 'Brannon Braga']","M,M,M,M"
104,m192,tt0088170,"['nm0734472', 'nm0071790']","['Gene Roddenberry', 'Harve Bennett']","M,M"
292,m193,tt0084726,"['nm0734472', 'nm0071790', 'nm0816348', 'nm0583292', 'nm0670268']","['Gene Roddenberry', 'Harve Bennett', 'Jack B. Sowards', 'Nicholas Meyer', 'Samuel A. Peeples']","M,M,M,M,M"
302,m194,tt0092007,"['nm0734472', 'nm0000559', 'nm0071790', 'nm0576228', 'nm0471298', 'nm0583292']","['Gene Roddenberry', 'Leonard Nimoy', 'Harve Bennett', 'Steve Meerson', 'Peter Krikes', 'Nicholas Meyer']","M,M,M,M,M,M"
426,m195,tt0120844,"['nm0734472', 'nm0075834', 'nm0683522']","['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","M,M,M"
87,m196,tt0117731,"['nm0734472', 'nm0075834', 'nm0103804', 'nm0601822']","['Gene Roddenberry', 'Rick Berman', 'Brannon Braga', 'Ronald D. Moore']","M,M,M,M"
373,m197,tt0102975,"['nm0734472', 'nm0000559', 'nm0465199', 'nm0742797', 'nm0583292', 'nm0282364']","['Gene Roddenberry', 'Leonard Nimoy', 'Lawrence Konner', 'Mark Rosenthal', 'Nicholas Meyer', 'Denny Martin Flinn']","M,M,M,M,M,M"
