,mid,imdb_id,writer_ids,writer_names,writer_gender
20,m402,tt0038650,"['nm0329304', 'nm0352443', 'nm0001008', 'nm0842485', 'nm0827821', 'nm0933858']","['Frances Goodrich', 'Albert Hackett', 'Frank Capra', 'Jo Swerling', 'Philip Van Doren Stern', 'Michael Wilson']","F,M,M,M,M,M"
300,m403,tt0077766,"['nm0001940', 'nm0331956', 'nm0755274']","['Peter Benchley', 'Carl Gottlieb', 'Howard Sackler']","M,M,M"
397,m404,tt0085750,"['nm0001940', 'nm0558577', 'nm0331956', 'nm0874100', 'nm0437393']","['Peter Benchley', 'Richard Matheson', 'Carl Gottlieb', 'Guerdon Trueblood', 'Michael Kane']","M,M,M,M,M"
235,m405,tt0093300,"['nm0001940', 'nm0208775']","['Peter Benchley', 'Michael De Guzman']","M,M"
533,m407,tt0104549,['nm0732430'],['Bruce Robinson'],M
504,m408,tt0116695,['nm0001081'],['Cameron Crowe'],M
228,m409,tt0163025,"['nm0000341', 'nm0118224', 'nm0668247', 'nm0852591']","['Michael Crichton', 'Peter Buchman', 'Alexander Payne', 'Jim Taylor']","M,M,M,M"
53,m410,tt0119567,"['nm0000341', 'nm0462895']","['Michael Crichton', 'David Koepp']","M,M"
123,m411,tt0107290,"['nm0000341', 'nm0462895']","['Michael Crichton', 'David Koepp']","M,M"
120,m413,tt0102181,['nm0229644'],['Lem Dobbs'],M
578,m414,tt0360717,"['nm0909638', 'nm0101991', 'nm0001392', 'nm0178260', 'nm0908624']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Merian C. Cooper', 'Edgar Wallace']","F,F,M,M,M"
3,m415,tt0067309,"['nm0506920', 'nm5557134']","['Andy Lewis', 'David E. Lewis']","M,M"
252,m416,tt0079417,"['nm0180011', 'nm0000914']","['Avery Corman', 'Robert Benton']","M,M"
437,m417,tt0119485,['nm0558953'],['Melissa Mathison'],F
114,m418,tt0139414,['nm0005082'],['David E. Kelley'],M
174,m419,tt0102926,"['nm0365383', 'nm0848217']","['Thomas Harris', 'Ted Tally']","M,M"
525,m420,tt0076300,"['nm0007122', 'nm0178126']","['Stephen Lord', 'James Fenimore Cooper']","M,M"
406,m421,tt0097737,"['nm0672459', 'nm0835732']","['David Webb Peoples', 'Jeb Stuart']","M,M"
400,m422,tt0120735,['nm0005363'],['Guy Ritchie'],M
191,m423,tt0116905,['nm0000626'],['John Sayles'],M
25,m424,tt0113690,['nm0000850'],['Clive Barker'],M
129,m425,tt0335266,['nm0001068'],['Sofia Coppola'],F
365,m426,tt0160484,"['nm0307070', 'nm0821439']","['Pierce Gardner', 'Betsy Stahl']","M,F"
101,m427,tt0199725,['nm0697656'],['Gina Prince-Bythewood'],F
7,m428,tt0175880,['nm0000759'],['Paul Thomas Anderson'],M
96,m429,tt0120744,"['nm0241416', 'nm0908824']","['Alexandre Dumas', 'Randall Wallace']","M,M"
173,m431,tt0091474,"['nm0365383', 'nm0000520']","['Thomas Harris', 'Michael Mann']","M,M"
312,m432,tt0125664,"['nm0018735', 'nm0438989']","['Scott Alexander', 'Larry Karaszewski']","M,M"
80,m433,tt0133093,"['nm0905152', 'nm0905154']","['Lilly Wachowski', 'Lana Wachowski']","F,F"
222,m434,tt0085636,"['nm0908890', 'nm0000118', 'nm0460600']","['Tommy Lee Wallace', 'John Carpenter', 'Nigel Kneale']","M,M,M"
41,m435,tt0119643,"['nm0651592', 'nm0719734', 'nm0905458', 'nm0325743', 'nm0143281', 'nm0274923', 'nm0027173', 'nm0499628']","['Ron Osborn', 'Jeff Reno', 'Kevin Wade', 'Bo Goldman', 'Alberto Casella', 'Walter Ferris', 'Maxwell Anderson', 'Gladys Lehman']","M,M,M,M,M,M,M"
243,m436,tt0209144,"['nm0634240', 'nm0634300']","['Christopher Nolan', 'Jonathan Nolan']","M,M"
542,m437,tt0430357,"['nm0000520', 'nm0947608']","['Michael Mann', 'Anthony Yerkovich']","M,M"
371,m438,tt0064665,"['nm0759029', 'nm0379052']","['Waldo Salt', 'James Leo Herlihy']","M,M"
74,m439,tt0077928,"['nm0000231', 'nm0370907', 'nm0388772']","['Oliver Stone', 'Billy Hayes', 'William Hoffer']","M,M,M"
495,m440,tt0119675,"['nm0938586', 'nm0730422', 'nm0868219']","['Donald A. Wollheim', 'Matthew Robbins', 'Guillermo del Toro']","M,M,M"
281,m441,tt0100157,"['nm0000175', 'nm0001279']","['Stephen King', 'William Goldman']","M,M"
234,m442,tt0120755,"['nm0312367', 'nm0601822', 'nm0103804', 'nm0001801']","['Bruce Geller', 'Ronald D. Moore', 'Brannon Braga', 'Robert Towne']","M,M,M,M"
241,m443,tt0117060,"['nm0312367', 'nm0462895', 'nm0001873', 'nm0001801']","['Bruce Geller', 'David Koepp', 'Steven Zaillian', 'Robert Towne']","M,M,M,M"
227,m444,tt0093565,['nm0788234'],['John Patrick Shanley'],M
106,m445,tt0071853,"['nm0001037', 'nm0000092', 'nm0001385', 'nm0000416', 'nm0001402', 'nm0001589', 'nm0540627']","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Thomas Malory']","M,M,M,M,M,M,M"
19,m446,tt0119280,['nm0110591'],['Jeremy Brock'],M
588,m447,tt0106302,"['nm0023929', 'nm0275286']","['Charles Band', 'David S. Goyer']","M,M"
466,m448,tt0166924,['nm0000186'],['David Lynch'],M
182,m450,tt0110613,"['nm0253214', 'nm0468293']","['Laurice Elehwany', 'Janet Kovalcik']","F,F"
270,m451,tt0102492,['nm0253214'],['Laurice Elehwany'],F
58,m452,tt0119738,['nm0060103'],['Ronald Bass'],M
412,m453,tt0073440,['nm0570219'],['Joan Tewkesbury'],F
519,m454,tt0110632,"['nm0000233', 'nm0892705', 'nm0752116', 'nm0000231']","['Quentin Tarantino', 'David Veloz', 'Richard Rutowski', 'Oliver Stone']","M,M,M,M"
122,m455,tt0058414,"['nm0736394', 'nm0950001']","['Michael Roemer', 'Robert M. Young']","M,M"
546,m458,tt0151738,"['nm0463359', 'nm0799050']","['Abby Kohn', 'Marc Silverstein']","F,M"
593,m459,tt0107688,"['nm0000318', 'nm0568313', 'nm0003031']","['Tim Burton', 'Michael McDowell', 'Caroline Thompson']","M,M,F"
576,m460,tt0089686,"['nm0153883', 'nm0000127']","['David Chaskin', 'Wes Craven']","M,M"
225,m461,tt0093629,"['nm0000127', 'nm0905818', 'nm0001104', 'nm0751080']","['Wes Craven', 'Bruce Wagner', 'Frank Darabont', 'Chuck Russell']","M,M,M,M"
402,m462,tt0125439,['nm0193485'],['Richard Curtis'],M
395,m463,tt0073486,"['nm0369142', 'nm0325743', 'nm0450181', 'nm0913670']","['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey', 'Dale Wasserman']","M,M,M,M"
77,m464,tt0110737,['nm0236884'],['Diane Drake'],F
321,m465,tt0047296,"['nm0775977', 'nm0425711', 'nm0802563']","['Budd Schulberg', 'Malcolm Johnson', 'Robert Siodmak']","M,M,M"
5,m466,tt0054240,['nm0000248'],['Edward D. Wood Jr.'],M
48,m467,tt0120780,"['nm0001465', 'nm0291082']","['Elmore Leonard', 'Scott Frank']","M,M"
577,m468,tt0213149,['nm0908824'],['Randall Wallace'],M
286,m469,tt0091738,"['nm0500090', 'nm0765403']","['Jerry Leichtling', 'Arlene Sarner']","M,F"
470,m470,tt0105128,['nm0653693'],['Richard Outten'],M
63,m471,tt0107818,['nm0638913'],['Ron Nyswaner'],M
423,m472,tt0134847,"['nm0923646', 'nm0003117', 'nm0878638']","['Jim Wheat', 'Ken Wheat', 'David Twohy']","M,M,M"
361,m473,tt0063442,"['nm0933858', 'nm0785245', 'nm0099541', 'nm0445934']","['Michael Wilson', 'Rod Serling', 'Pierre Boulle', 'John T. Kelley']","M,M,M,M"
485,m474,tt0091763,['nm0000231'],['Oliver Stone'],M
539,m475,tt0114142,"['nm0239490', 'nm0766020']","['David DuBos', 'Oley Sassone']","M,M"
194,m476,tt0086122,['nm0568605'],['Ian McEwan'],M
55,m477,tt0102685,"['nm0004488', 'nm0407717']","['Rick King', 'W. Peter Iliff']","M,M"
584,m478,tt0093773,"['nm0859029', 'nm0859049']","['Jim Thomas', 'John Thomas']","M,M"
345,m479,tt0100405,['nm0493369'],['J.F. Lawton'],M
290,m480,tt0093779,['nm0001279'],['William Goldman'],M
90,m481,tt0395251,"['nm0000316', 'nm0576070']","['Mel Brooks', 'Thomas Meehan']","M,M"
164,m482,tt0054215,"['nm0825010', 'nm0088645']","['Joseph Stefano', 'Robert Bloch']","M,M"
392,m485,tt0024368,"['nm0611920', 'nm0259022', 'nm0067676']","['Don Mullaly', 'Carl Erickson', 'Charles Belden']","M,M,M"
563,m486,tt0239860,"['nm0169173', 'nm0322368']","['David Aaron Cohen', 'Francis Glebas']","M,M"
29,m487,tt0102753,['nm0932229'],['Calder Willingham'],M
523,m489,tt0086190,"['nm0001410', 'nm0000184']","['Lawrence Kasdan', 'George Lucas']","M,M"
250,m490,tt0073629,"['nm0639782', 'nm0788940']","[""Richard O'Brien"", 'Jim Sharman']","M,M"
405,m491,tt0075148,['nm0000230'],['Sylvester Stallone'],M
130,m492,tt0096438,"['nm0937757', 'nm0696949', 'nm0780620', 'nm5927607', 'nm5927608']","['Gary K. Wolf', 'Jeffrey Price', 'Peter S. Seaman', 'Ted Osborne', 'Al Taliaferro']","M,M,M,M,M"
381,m493,tt0063518,"['nm0000636', 'nm0116663', 'nm0195148', 'nm0001874']","['William Shakespeare', 'Franco Brusati', ""Masolino D'Amico"", 'Franco Zeffirelli']","M,M,M,M"
31,m494,tt0122690,"['nm0954345', 'nm0000519']","['J.D. Zeik', 'David Mamet']","M,M"
131,m495,tt0140519,"['nm0110805', 'nm0449246']","['Brendan Broderick', 'Rob Kerchner']","M,M"
552,m496,tt0266915,"['nm0482780', 'nm0622288']","['Ross LaManna', 'Jeff Nathanson']","M,M"
85,m497,tt0120812,"['nm0482780', 'nm0467942']","['Ross LaManna', 'Jim Kouf']","M,M"
494,m498,tt0163187,"['nm0569210', 'nm0663490']","['Josann McGibbon', 'Sara Parriott']","F,F"
499,m499,tt0108160,"['nm0033578', 'nm0001188', 'nm0911486']","['Jeff Arch', 'Nora Ephron', 'David S. Ward']","M,F,M"
490,m500,tt0047443,['nm0933858'],['Michael Wilson'],M
242,m501,tt0235737,['nm0311024'],['Tony Gayton'],M
186,m502,tt0120815,['nm0734441'],['Robert Rodat'],M
65,m503,tt0098258,['nm0001081'],['Cameron Crowe'],M
581,m504,tt0108052,"['nm0447745', 'nm0001873']","['Thomas Keneally', 'Steven Zaillian']","M,M"
506,m505,tt0120082,['nm0932078'],['Kevin Williamson'],M
544,m506,tt0134084,"['nm0932078', 'nm0472567']","['Kevin Williamson', 'Ehren Kruger']","M,M"
314,m507,tt0117571,['nm0932078'],['Kevin Williamson'],M
550,m508,tt0079882,"['nm0238083', 'nm0047915', 'nm0796477']","['William Driskill', 'Robert Baird', 'Andy Sidaris']","M,M,M"
587,m509,tt0049730,"['nm0637793', 'nm0494435']","['Frank S. Nugent', 'Alan Le May']","M,M"
560,m510,tt0221928,['nm0004308'],['Dirk Ahner'],M
500,m511,tt0138097,"['nm0635565', 'nm0001779']","['Marc Norman', 'Tom Stoppard']","M,M"
580,m512,tt0111149,['nm0388076'],['John Hodge'],M
94,m513,tt0073692,"['nm0001801', 'nm0000886']","['Robert Towne', 'Warren Beatty']","M,M"
439,m514,tt0081505,"['nm0000175', 'nm0000040', 'nm0424956']","['Stephen King', 'Stanley Kubrick', 'Diane Johnson']","M,M,F"
517,m515,tt0090021,['nm0000175'],['Stephen King'],M
212,m516,tt0105417,['nm0397411'],['Paul Rudnick'],M
148,m517,tt0162661,"['nm0410331', 'nm0944892', 'nm0001825']","['Washington Irving', 'Kevin Yagher', 'Andrew Kevin Walker']","M,M,M"
165,m518,tt0117666,['nm0000671'],['Billy Bob Thornton'],M
351,m519,tt0114478,['nm0000808'],['Paul Auster'],M
509,m520,tt0120834,"['nm0349189', 'nm0060103', 'nm0382956']","['David Guterson', 'Ronald Bass', 'Scott Hicks']","M,M,M"
43,m522,tt0053291,"['nm0000697', 'nm0224634', 'nm0858329', 'nm0517615']","['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren', 'Michael Logan']","M,M,M,M"
266,m523,tt0372532,"['nm1814871', 'nm1401416']","['Elizabeth Young', 'Dana Fox']","F,F"
274,m524,tt0069303,"['nm0253039', 'nm0035943']","['Lonne Elder III', 'William H. Armstrong']","M,M"
8,m525,tt0158983,"['nm0005295', 'nm0001778', 'nm0103702']","['Trey Parker', 'Matt Stone', 'Pam Brady']","M,M,F"
137,m526,tt0120174,"['nm0110805', 'nm0700706']","['Brendan Broderick', 'Daniella Purcell']","M,F"
73,m527,tt0108200,['nm0342265'],['Christopher Grimm'],M
383,m528,tt0120184,"['nm0000341', 'nm0934483', 'nm0369561', 'nm0001921']","['Michael Crichton', 'Kurt Wimmer', 'Stephen Hauser', 'Paul Attanasio']","M,M,M,M"
317,m529,tt0076759,['nm0000184'],['George Lucas'],M
207,m530,tt0120201,"['nm0627159', 'nm0374423']","['Edward Neumeier', 'Robert A. Heinlein']","M,M"
430,m531,tt0079945,"['nm0734472', 'nm0515245', 'nm0287669']","['Gene Roddenberry', 'Harold Livingston', 'Alan Dean Foster']","M,M,M"
78,m532,tt0120202,['nm0000519'],['David Mamet'],M
112,m533,tt0120686,"['nm0505144', 'nm0625458', 'nm0737216', 'nm0394212', 'nm0060103']","['Gigi Levangie', 'Jessie Nelson', 'Steven Rogers', 'Karen Leigh Hopkins', 'Ronald Bass']","F,F,M,F,M"
61,m534,tt0250081,['nm0001754'],['Todd Solondz'],M
0,m536,tt0057012,"['nm0000040', 'nm0816143', 'nm0313570']","['Stanley Kubrick', 'Terry Southern', 'Peter George']","M,M,M"
258,m537,tt0120238,['nm0091899'],['Eric Bogosian'],M
483,m538,tt0186589,['nm0625570'],['Mandy Nelson'],F
349,m539,tt0043014,"['nm0102818', 'nm0000697', 'nm0551261']","['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","M,M,M"
71,m540,tt0088206,"['nm0643973', 'nm2406394', 'nm2530490']","['David Odell', 'Otto Binder', 'Al Plastino']","M,M,M"
219,m541,tt0086393,"['nm0796950', 'nm0795975', 'nm0628058', 'nm0628174', 'nm0701374']","['Jerry Siegel', 'Joe Shuster', 'David Newman', 'Leslie Newman', 'Mario Puzo']","M,M,M,F,M"
453,m542,tt0081573,"['nm0796950', 'nm0795975', 'nm0701374', 'nm0628058', 'nm0628174', 'nm0542539']","['Jerry Siegel', 'Joe Shuster', 'Mario Puzo', 'David Newman', 'Leslie Newman', 'Tom Mankiewicz']","M,M,M,M,F,M"
102,m543,tt0094074,"['nm0796950', 'nm0795975', 'nm0001659', 'nm0465199', 'nm0742797']","['Jerry Siegel', 'Joe Shuster', 'Christopher Reeve', 'Lawrence Konner', 'Mark Rosenthal']","M,M,M,M,M"
331,m544,tt0078346,"['nm0796950', 'nm0795975', 'nm0701374', 'nm0628058', 'nm0628174', 'nm0000914', 'nm0542539']","['Jerry Siegel', 'Joe Shuster', 'Mario Puzo', 'David Newman', 'Leslie Newman', 'Robert Benton', 'Tom Mankiewicz']","M,M,M,M,F,M,M"
153,m545,tt0120255,"['nm0001930', 'nm0000382']","['Russell Banks', 'Atom Egoyan']","M,M"
322,m546,tt0051036,"['nm0644048', 'nm0499626', 'nm0533241']","['Clifford Odets', 'Ernest Lehman', 'Alexander Mackendrick']","M,M,M"
561,m547,tt0103064,"['nm0000116', 'nm0936537']","['James Cameron', 'William Wisher']","M,M"
476,m548,tt0260414,['nm0367838'],['Ronald Harwood'],M
537,m549,tt0088247,"['nm0000116', 'nm0005036', 'nm0936537']","['James Cameron', 'Gale Anne Hurd', 'William Wisher']","M,F,M"
451,m550,tt0119174,"['nm0104335', 'nm0274905']","['John Brancato', 'Michael Ferris']","M,M"
497,m551,tt0171363,"['nm0783100', 'nm0414047']","['David Self', 'Shirley Jackson']","M,F"
438,m552,tt0165854,['nm0229644'],['Lem Dobbs'],M
327,m553,tt0243133,"['nm0001054', 'nm0001053']","['Joel Coen', 'Ethan Coen']","M,M"
443,m554,tt0120004,"['nm0696409', 'nm0157470', 'nm0427468', 'nm0706311', 'nm0415425', 'nm0798646']","['Douglas Preston', 'Lincoln Child', 'Amy Holden Jones', 'John Raffo', 'Rick Jaffa', 'Amanda Silver']","M,M,F,M,M,F"
167,m555,tt0120382,['nm0629272'],['Andrew Niccol'],M
419,m556,tt0120902,"['nm0004810', 'nm0819487']","['Chris Carter', 'Frank Spotnitz']","M,M"
551,m557,tt0209958,['nm0698873'],['Mark Protosevich'],M
338,m558,tt0041959,"['nm0001294', 'nm0000080', 'nm0466099', 'nm0715346']","['Graham Greene', 'Orson Welles', 'Alexander Korda', 'Carol Reed']","M,M,M,M"
388,m559,tt0163978,"['nm0388076', 'nm0307497']","['John Hodge', 'Alex Garland']","M,M"
272,m560,tt0247199,"['nm0063785', 'nm0414893']","['Henry Bean', 'Mark Jacobson']","M,M"
471,m561,tt0095250,"['nm0000108', 'nm0307561', 'nm0325665', 'nm0562936', 'nm0674700']","['Luc Besson', 'Robert Garland', 'Marilyn Goldin', 'Jacques Mayol', 'Marc Perrier']","M,M,F,M,M"
206,m562,tt0317640,['nm1165576'],['Jonathan Kesselman'],M
271,m563,tt0036104,"['nm0942027', 'nm0215085', 'nm0941280']","['Ardel Wray', 'Edward Dein', 'Cornell Woolrich']","F,M,M"
126,m564,tt0144286,"['nm0496226', 'nm0112127', 'nm0590105']","['Eric Leclere', 'Margaret Leclere', 'Mark Mills']","M,F,M"
528,m565,tt0790712,"['nm0131947', 'nm0610219']","['Alessandro Camon', 'Oren Moverman']","M,M"
554,m566,tt0253474,"['nm0367838', 'nm0844262']","['Ronald Harwood', 'Wladyslaw Szpilman']","M,M"
469,m567,tt0107822,['nm0001005'],['Jane Campion'],F
233,m568,tt0070735,['nm0911486'],['David S. Ward'],M
259,m569,tt0025878,"['nm0352443', 'nm0329304', 'nm0358591']","['Albert Hackett', 'Frances Goodrich', 'Dashiell Hammett']","M,F,M"
328,m570,tt0120188,"['nm0725983', 'nm0751102']","['John Ridley', 'David O. Russell']","M,M"
172,m571,tt0066434,"['nm0000184', 'nm0004555']","['George Lucas', 'Walter Murch']","M,M"
35,m572,tt0196158,['nm0546803'],['Paul B. Margolis'],M
404,m573,tt0023622,"['nm0710723', 'nm0428177', 'nm0015801']","['Samson Raphaelson', 'Grover Jones', 'Aladar Laszlo']","M,M,M"
358,m574,tt0120338,['nm0000116'],['James Cameron'],M
17,m575,tt0025905,"['nm0330390', 'nm0545309', 'nm0174889']","['Leon Gordon', 'Joseph Moncure March', 'Harry W. Conn']","M,M,M"
88,m576,tt0108358,['nm0418883'],['Kevin Jarre'],M
393,m577,tt0120347,"['nm0270761', 'nm0001220']","['Bruce Feirstein', 'Ian Fleming']","M,M"
141,m578,tt0100791,['nm0122344'],['Charles Burnett'],M
51,m579,tt0114709,"['nm0005124', 'nm0230032', 'nm0004056', 'nm0710020', 'nm0923736', 'nm0169505', 'nm0812513']","['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft', 'Joss Whedon', 'Joel Cohen', 'Alec Sokolow']","M,M,M,M,M,M,M"
456,m580,tt0097806,['nm0141462'],['Angela Carter'],F
289,m581,tt0181865,"['nm0601881', 'nm0300866']","['Simon Moore', 'Stephen Gaghan']","M,M"
375,m582,tt0117951,"['nm0920543', 'nm0388076']","['Irvine Welsh', 'John Hodge']","M,M"
180,m583,tt0098382,"['nm0734472', 'nm0000638', 'nm0071790', 'nm0521739']","['Gene Roddenberry', 'William Shatner', 'Harve Bennett', 'David Loughery']","M,M,M,M"
364,m584,tt0084827,"['nm0513974', 'nm0531381', 'nm0351919']","['Steven Lisberger', 'Bonnie MacBird', 'Charles S. Haas']","M,F,M"
411,m585,tt0111503,"['nm0956022', 'nm0584770', 'nm0436687', 'nm0000116']","['Claude Zidi', 'Simon Michaël', 'Didier Kaminka', 'James Cameron']","M,M,M,M"
76,m586,tt0108399,"['nm0000233', 'nm0000812']","['Quentin Tarantino', 'Roger Avary']","M,M"
346,m587,tt0114746,"['nm0003408', 'nm0672459', 'nm0672466']","['Chris Marker', 'David Webb Peoples', 'Janet Peoples']","M,M,F"
309,m588,tt0070848,"['nm0101147', 'nm0434211']","['Douglas Bowie', 'George Kaczender']","M,M"
263,m589,tt0120399,['nm0725983'],['John Ridley'],M
277,m590,tt0217869,['nm0796117'],['M. Night Shyamalan'],M
163,m591,tt0105695,['nm0672459'],['David Webb Peoples'],M
422,m592,tt0114814,['nm0003160'],['Christopher McQuarrie'],M
156,m593,tt0072359,"['nm0029274', 'nm0147265', 'nm0183650', 'nm0241506', 'nm0898812']","['Paul Andréota', 'André Cayatte', 'Henri Coupon', 'Pierre Dumayet', 'Luciano Vincenzoni']","M,M,M,M,M"
493,m594,tt0052357,"['nm0178785', 'nm0853138', 'nm0092267', 'nm0092268', 'nm0027173']","['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau', 'Thomas Narcejac', 'Maxwell Anderson']","M,M,M,M,M"
249,m595,tt0124198,['nm0000916'],['Peter Berg'],M
559,m596,tt0055601,"['nm0017855', 'nm0000320', 'nm0701918']","['Julio Alejandro', 'Luis Buñuel', 'Benito Pérez Galdós']","M,M,M"
6,m597,tt0114857,['nm0077171'],['Eric Bernt'],M
64,m598,tt0120885,"['nm0067248', 'nm0377088', 'nm0000519']","['Larry Beinhart', 'Hilary Henkin', 'David Mamet']","M,F,M"
407,m599,tt0094291,"['nm0007140', 'nm0000231']","['Stanley Weiser', 'Oliver Stone']","M,M"
465,m601,tt0161081,"['nm0163988', 'nm0449576']","['Clark Gregg', 'Sarah Kernochan']","M,F"
445,m603,tt0181904,['nm0927623'],['Paul Wiesepape'],M
294,m604,tt0108558,"['nm0427176', 'nm0427732']","['Geneviève Jolliffe', 'Chris Jones']","F,M"
39,m606,tt0120890,['nm0002983'],['Stephen Peters'],M
473,m607,tt0120891,"['nm0859029', 'nm0859049', 'nm0934093', 'nm0534681', 'nm0696949', 'nm0780620']","['Jim Thomas', 'John Thomas', 'S.S. Wilson', 'Brent Maddock', 'Jeffrey Price', 'Peter S. Seaman']","M,M,M,M,M,M"
510,m608,tt0096446,"['nm0000184', 'nm0231190']","['George Lucas', 'Bob Dolman']","M,M"
401,m609,tt0090329,"['nm0446015', 'nm0908807', 'nm0908620']","['William Kelley', 'Pamela Wallace', 'Earl W. Wallace']","M,F,M"
335,m610,tt0032138,"['nm0486538', 'nm0753249', 'nm0941138', 'nm0000875', 'nm0006085', 'nm0106505', 'nm0134284', 'nm0276252', 'nm0355095', 'nm0361971', 'nm0388755', 'nm0481618', 'nm0536941', 'nm0542534', 'nm0591774', 'nm0621790', 'nm0685265', 'nm0780833', 'nm0799015']","['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf', 'L. Frank Baum', 'Arthur Freed', 'Irving Brecher', 'William H. Cannon', 'Herbert Fields', 'Jack Haley', 'E.Y. Harburg', 'Samuel Hoffenstein', 'Bert Lahr', 'John Lee Mahin', 'Herman J. Mankiewicz', 'Jack Mintz', 'Ogden Nash', 'Robert Pirosh', 'George Seaton', 'Sid Silvers']","M,F,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M"
306,m611,tt0143145,"['nm0701031', 'nm0905498', 'nm0270761', 'nm0001220']","['Neal Purvis', 'Robert Wade', 'Bruce Feirstein', 'Ian Fleming']","M,M,M,M"
115,m612,tt0409459,"['nm1733301', 'nm0371684', 'nm0874844']","['Dave Gibbons', 'David Hayter', 'Alex Tse']","M,M,M"
50,m613,tt0295701,['nm0929186'],['Rich Wilkes'],M
22,m615,tt0072431,"['nm0000698', 'nm0000316', 'nm0791217']","['Gene Wilder', 'Mel Brooks', 'Mary Shelley']","M,M,F"
